"month","DriversKilled"
1969-01-01,107
1969-02-01,97
1969-03-01,102
1969-04-01,87
1969-05-01,119
1969-06-01,106
1969-07-01,110
1969-08-01,106
1969-09-01,107
1969-10-01,134
1969-11-01,147
1969-12-01,180
1970-01-01,125
1970-02-01,134
1970-03-01,110
1970-04-01,102
1970-05-01,103
1970-06-01,111
1970-07-01,120
1970-08-01,129
1970-09-01,122
1970-10-01,183
1970-11-01,169
1970-12-01,190
1971-01-01,134
1971-02-01,108
1971-03-01,104
1971-04-01,117
1971-05-01,157
1971-06-01,148
1971-07-01,130
1971-08-01,140
1971-09-01,136
1971-10-01,140
1971-11-01,187
1971-12-01,150
1972-01-01,159
1972-02-01,143
1972-03-01,114
1972-04-01,127
1972-05-01,159
1972-06-01,156
1972-07-01,138
1972-08-01,120
1972-09-01,117
1972-10-01,170
1972-11-01,168
1972-12-01,198
1973-01-01,144
1973-02-01,146
1973-03-01,109
1973-04-01,131
1973-05-01,151
1973-06-01,140
1973-07-01,153
1973-08-01,140
1973-09-01,161
1973-10-01,168
1973-11-01,152
1973-12-01,136
1974-01-01,113
1974-02-01,100
1974-03-01,103
1974-04-01,103
1974-05-01,121
1974-06-01,134
1974-07-01,133
1974-08-01,129
1974-09-01,144
1974-10-01,154
1974-11-01,156
1974-12-01,163
1975-01-01,122
1975-02-01,92
1975-03-01,117
1975-04-01,95
1975-05-01,96
1975-06-01,108
1975-07-01,108
1975-08-01,106
1975-09-01,140
1975-10-01,114
1975-11-01,158
1975-12-01,161
1976-01-01,102
1976-02-01,127
1976-03-01,125
1976-04-01,101
1976-05-01,97
1976-06-01,112
1976-07-01,112
1976-08-01,113
1976-09-01,108
1976-10-01,128
1976-11-01,154
1976-12-01,162
1977-01-01,112
1977-02-01,79
1977-03-01,82
1977-04-01,127
1977-05-01,108
1977-06-01,110
1977-07-01,123
1977-08-01,103
1977-09-01,97
1977-10-01,140
1977-11-01,165
1977-12-01,183
1978-01-01,148
1978-02-01,111
1978-03-01,116
1978-04-01,115
1978-05-01,100
1978-06-01,106
1978-07-01,134
1978-08-01,125
1978-09-01,117
1978-10-01,122
1978-11-01,153
1978-12-01,178
1979-01-01,114
1979-02-01,94
1979-03-01,128
1979-04-01,119
1979-05-01,111
1979-06-01,110
1979-07-01,114
1979-08-01,118
1979-09-01,115
1979-10-01,132
1979-11-01,153
1979-12-01,171
1980-01-01,115
1980-02-01,95
1980-03-01,92
1980-04-01,100
1980-05-01,95
1980-06-01,114
1980-07-01,102
1980-08-01,104
1980-09-01,132
1980-10-01,136
1980-11-01,117
1980-12-01,137
1981-01-01,111
1981-02-01,106
1981-03-01,98
1981-04-01,84
1981-05-01,94
1981-06-01,105
1981-07-01,123
1981-08-01,109
1981-09-01,130
1981-10-01,153
1981-11-01,134
1981-12-01,99
1982-01-01,115
1982-02-01,104
1982-03-01,131
1982-04-01,108
1982-05-01,103
1982-06-01,115
1982-07-01,122
1982-08-01,122
1982-09-01,125
1982-10-01,137
1982-11-01,138
1982-12-01,152
1983-01-01,120
1983-02-01,95
1983-03-01,100
1983-04-01,89
1983-05-01,82
1983-06-01,89
1983-07-01,60
1983-08-01,84
1983-09-01,113
1983-10-01,126
1983-11-01,122
1983-12-01,118
1984-01-01,92
1984-02-01,86
1984-03-01,81
1984-04-01,84
1984-05-01,87
1984-06-01,90
1984-07-01,79
1984-08-01,96
1984-09-01,122
1984-10-01,120
1984-11-01,137
1984-12-01,154
